ACCIDENT_NO,PERSON_ID,cluster
T20200008522,A,1
T20200008522,B,4
T20200011963,B,4
T20200017382,A,0
T20200012725,A,0
T20200012723,B,1
T20200012723,A,4
T20230019581,03,1
T20200012562,A,4
T20200012572,B,4
T20200012359,B,2
T20200012359,A,0
T20220009130,04,3
T20230005166,B,2
T20200013117,A,0
T20230030355,A,0
T20200009135,B,1
T20200009377,A,0
T20120021930,A,0
T20220029465,B,2
T20200009888,02,0
T20200010382,B,0
T20220013247,A,2
T20220013247,01,2
T20210013657,A,0
T20210013657,B,2
T20220025111,A,2
T20220025111,02,2
T20220025111,01,2
T20220025111,03,0
T20200022734,B,2
T20200022734,A,0
T20220014101,B,1
T20210014652,B,2
T20210014345,A,0
T20230023039,B,0
T20220019741,B,2
T20220019741,A,0
T20220019741,02,0
T20220019741,01,2
T20210013903,A,2
T20210013903,B,0
T20210016684,01,1
T20210016684,A,1
T20210013837,B,0
T20200013094,A,2
T20210011101,A,2
T20210011101,B,0
T20210011101,01,0
T20210013349,A,1
T20210013349,B,4
T20210013349,01,6
T20210013566,A,0
T20210013541,A,1
T20210013541,B,4
T20210014556,A,2
T20210014556,B,0
T20240005887,A,2
T20230020255,A,0
T20120020189,B,4
T20240000569,A,0
T20230024927,B,1
T20230021290,A,0
T20220024705,01,0
T20220024705,A,2
T20220024705,B,0
T20230003004,01,0
T20230003004,A,2
T20230003004,B,2
T20220007208,B,2
T20200023394,01,2
T20230014100,B,0
T20200017072,01,2
T20230018466,A,2
T20230016179,B,3
T20230018666,A,2
T20220015579,01,0
T20230017421,A,2
T20230017421,B,0
T20230012478,A,0
T20220015168,A,0
T20230023819,A,2
T20230015943,B,2
T20230015943,A,0
T20230003588,B,0
T20230003588,A,2
T20220009130,01,3
T20220009130,02,3
T20220009130,03,3
T20230005166,A,0
T20230000274,01,0
T20230016243,B,2
T20230004595,A,2
T20230004595,B,0
T20200010165,B,1
T20240003837,02,2
T20200010311,A,4
T20200011380,01,2
T20200011199,B,2
T20200011199,A,0
T20200012301,01,1
T20200012301,A,1
T20200012301,B,4
T20200012301,02,6
T20200012389,A,2
T20200012584,B,0
T20200012584,A,0
T20200012584,01,2
T20200012343,01,4
T20200012343,A,1
T20200012343,B,1
T20200012470,A,3
T20200012470,B,3
T20200012394,A,1
T20200012394,B,4
T20240010189,A,0
T20200003548,B,1
T20200012776,B,0
T20200012776,A,2
T20200012298,B,0
T20200012298,A,0
T20200012574,A,2
T20230025749,B,2
T20200014450,B,6
T20230001048,B,2
T20200017182,B,0
T20200017182,A,2
T20230017633,A,0
T20210013625,B,0
T20210013623,01,1
T20210013623,02,1
T20210004445,B,2
T20210004445,A,0
T20210013678,B,0
T20210013436,A,0
T20210013436,B,2
T20210013678,A,0
T20210013678,01,0
T20150020632,B,6
T20150020632,01,1
T20150020632,A,1
T20220028572,B,2
T20220007677,B,2
T20180018782,A,1
T20210004227,A,0
T20150016914,A,0
T20220028572,A,0
T20210012977,A,0
T20180018782,B,1
T20210014755,B,2
T20240005173,B,2
T20240005173,A,0
T20200000292,B,1
T20180002024,B,2
T20230026698,A,2
T20230025749,A,0
T20230009751,A,2
T20230019083,B,2
T20240002011,B,0
T20230018922,B,2
T20220003866,A,0
T20230022274,B,4
T20230022274,A,1
T20230019432,A,0
T20230022796,A,0
T20120021873,B,0
T20220017248,02,2
T20230019334,A,2
T20240013193,B,2
T20230003354,A,4
T20230003354,02,6
T20230003299,A,1
T20230003299,B,4
T20220017379,B,0
T20220024060,A,0
T20230008796,B,2
T20230006759,A,2
T20230018105,B,1
T20200017175,A,0
T20230004667,A,1
T20230004667,B,4
T20240014245,B,1
T20230005068,B,4
T20220015168,B,2
T20230004876,A,4
T20230022467,B,2
T20200014504,B,4
T20200014504,A,1
T20200014823,01,0
T20200014823,B,0
T20200014986,B,4
T20200014501,A,1
T20200014501,B,4
T20180023538,A,1
T20210002919,B,1
T20200014591,B,1
T20200014591,A,4
T20200014813,B,6
T20200014813,A,4
T20200014933,01,4
T20200014933,B,1
T20230005510,B,4
T20230005598,A,2
T20200014583,B,4
T20200014583,02,1
T20200014583,A,1
T20200014381,A,4
T20200014409,A,0
T20200016299,A,1
T20200016299,B,4
T20200016324,A,4
T20200016014,A,4
T20200016206,B,4
T20200016206,A,1
T20220014571,A,1
T20200016095,B,2
T20200016095,01,2
T20200016095,A,0
T20200016172,A,4
T20200015907,01,3
T20200015907,01,3
T20200015907,B,3
T20200015907,B,3
T20200015907,A,1
T20200015907,A,1
T20230014288,A,0
T20200016360,A,0
T20200016360,B,2
T20200015986,01,3
T20200015986,02,3
T20200015986,A,3
T20200015986,B,3
T20200015986,03,3
T20200016117,A,4
T20200016117,B,1
T20200016117,01,1
T20210026753,01,2
T20210014761,A,0
T20210014757,A,2
T20210014757,01,2
T20210014714,B,2
T20190025708,B,2
T20210016399,A,0
T20210016399,B,2
T20200000166,B,3
T20210015889,B,0
T20190006290,B,0
T20190025905,02,2
T20190006290,A,2
T20210016994,A,2
T20190025905,B,2
T20190025905,A,2
T20190025905,01,0
T20210015052,A,0
T20210010336,B,2
T20210010336,A,0
T20210016446,B,2
T20170013602,A,0
T20170013602,B,0
T20220011654,A,2
T20240009726,A,2
T20210013765,A,0
T20240009726,03,2
T20220010129,B,2
T20220010129,A,0
T20220010156,01,2
T20220010156,A,2
T20210013765,B,0
T20220010156,B,0
T20220010156,02,2
T20210015339,A,2
T20220015517,A,1
T20230006759,02,0
T20230029634,A,4
T20170003016,A,2
T20170003016,B,0
T20230021285,B,2
T20230021285,A,2
T20230029634,B,6
T20230021042,A,2
T20230021042,A,2
T20130016668,01,1
T20130016668,A,1
T20130016668,02,1
T20130016668,B,6
T20230019072,A,0
T20230011670,B,2
T20200012739,B,1
T20230010541,B,6
T20220022155,A,3
T20220022155,B,3
T20230002696,01,1
T20240002382,02,3
T20230014835,B,0
T20220018222,A,0
T20230008963,A,2
T20230008963,B,0
T20220000929,01,1
T20220026534,B,0
T20230019201,A,0
T20230019201,B,2
T20230009157,A,0
T20230017609,B,2
T20230017327,A,1
T20230011238,A,2
T20220029842,B,0
T20200016314,01,4
T20200016314,A,6
T20200016314,B,1
T20220010188,A,1
T20240005049,B,2
T20230017915,B,2
T20230017915,A,0
T20200016156,B,1
T20200016156,01,4
T20200016156,A,1
T20200016074,B,1
T20200016074,A,4
T20200016263,B,2
T20200016263,A,0
T20230003759,B,2
T20230001817,A,2
T20230001817,B,0
T20200015764,A,2
T20200015764,B,0
T20200016016,A,0
T20200016016,B,2
T20200015770,A,0
T20200015770,B,0
T20210016760,02,6
T20210016760,01,6
T20200016836,A,1
T20200014707,A,1
T20200017721,01,3
T20200017721,02,6
T20200017721,A,6
T20200017721,B,3
T20200017207,B,2
T20200017207,A,0
T20200017603,A,1
T20200017421,A,0
T20210010606,B,2
T20200017345,A,0
T20200017104,A,1
T20230015690,B,2
T20230015690,A,0
T20180009234,A,0
T20180009234,B,0
T20220020299,B,2
T20210010606,A,0
T20220020299,A,0
T20120018437,B,2
T20200017269,B,4
T20200017269,02,1
T20200017010,B,4
T20170018848,A,6
T20220015370,B,0
T20190022681,01,0
T20170018848,01,4
T20170018848,B,1
T20190022681,B,2
T20190019114,A,2
T20190019114,01,0
T20190019114,B,0
T20180017219,B,3
T20230014529,02,6
T20210016252,B,1
T20210016252,A,4
T20210017100,B,4
T20210008207,01,0
T20210017100,A,1
T20220023563,A,2
T20230004852,B,0
T20210010832,A,0
T20230018124,B,0
T20180005387,A,2
T20180005387,B,0
T20210008739,B,1
T20190001720,B,6
T20210020264,B,2
T20240002668,01,2
T20200021654,B,0
T20230011098,B,2
T20210014090,02,1
T20230027184,A,1
T20210002565,01,2
T20210004319,A,2
T20210026844,01,2
T20210017953,A,2
T20210014345,B,2
T20150001872,01,6
T20220014331,A,0
T20240002370,A,2
T20210020899,01,4
T20210022755,B,2
T20220017308,A,0
T20210020417,A,1
T20210020631,B,1
T20210021768,A,0
T20180013574,B,0
T20190014601,01,1
T20190014601,B,1
T20190026260,A,0
T20220017308,B,2
T20150012136,01,0
T20150012136,01,0
T20200017923,A,1
T20200017923,B,4
T20200017807,A,0
T20200017807,B,2
T20200018053,01,6
T20200018053,A,4
T20200017284,A,0
T20200017284,B,0
T20210016919,B,2
T20210016919,A,0
T20220012917,B,2
T20220005104,A,1
T20230008017,B,2
T20210025897,A,4
T20210022422,A,0
T20210008599,A,0
T20230015838,01,6
T20230015838,01,6
T20220017366,A,2
T20240012190,A,2
T20160011182,01,3
T20160011182,A,3
T20210021728,A,2
T20170019293,B,0
T20210024195,A,0
T20220010181,A,0
T20210021499,B,2
T20210001937,B,2
T20210001937,A,0
T20200007419,A,0
T20220028834,A,0
T20210023905,01,2
T20210020447,A,0
T20220014439,B,1
T20230019710,A,2
T20230016290,A,0
T20230016290,B,0
T20230019083,A,0
T20230018786,A,1
T20230020211,02,2
T20240013394,01,0
T20240013394,B,2
T20230018786,03,6
T20220003954,B,1
T20230018778,A,2
T20230018786,B,3
T20230018705,B,6
T20230020211,01,2
T20210011812,A,1
T20140024664,A,2
T20140024664,B,0
T20210007890,01,6
T20230007360,B,2
T20230007859,A,2
T20180007876,01,3
T20180007876,A,3
T20140006570,02,0
T20140006570,03,0
T20140006570,A,0
T20140006570,B,0
T20140006570,01,0
T20180007473,B,0
T20210019487,B,0
T20220016823,A,2
T20220016823,B,0
T20190022278,A,0
T20220007243,A,6
T20230014100,A,2
T20240014855,A,2
T20220019937,B,2
T20220019937,A,0
T20210017188,A,3
T20210017188,01,3
T20210004971,03,0
T20210004971,02,0
T20230024819,B,4
T20200023276,01,5
T20230010507,B,2
T20240001239,A,4
T20230012834,01,1
T20230012834,A,1
T20220029827,B,4
T20220029827,A,1
T20240013971,A,4
T20160018176,B,1
T20240016367,A,2
T20230015818,A,1
T20230022644,A,1
T20240010269,01,2
T20240000919,01,6
T20230001027,A,0
T20240008738,A,0
T20220025685,A,0
T20220025685,B,0
T20240006852,B,0
T20240012028,B,2
T20220023493,03,0
T20220023493,A,0
T20230024937,A,0
T20240000860,A,0
T20240007468,A,2
T20210021033,01,6
T20210021033,A,4
T20210013989,B,2
T20210018178,B,1
T20240007034,01,0
T20240000860,B,2
T20220019448,A,0
T20210012073,A,2
T20210020445,A,0
T20210020445,B,2
T20240004783,A,0
T20210021766,B,2
T20210021766,B,2
T20210025891,A,0
T20200010030,A,1
T20210015562,02,0
T20210017020,A,2
T20190024537,A,6
T20190024537,B,3
T20190024537,01,1
T20190024537,02,3
T20210018804,A,0
T20210018804,B,2
T20210007374,B,1
T20210022882,A,2
T20210022364,01,2
T20160015112,A,0
T20190006630,02,3
T20190006630,03,3
T20190006630,A,3
T20220006634,B,6
T20240010198,01,0
T20210022882,B,0
T20230019782,A,1
T20180004047,01,5
T20180004047,02,5
T20200016642,A,2
T20230008525,B,2
T20190011664,02,3
T20230010743,B,3
T20200000698,A,2
T20230011239,B,6
T20210024435,B,0
T20210024435,A,2
T20220017248,01,0
T20210021613,B,2
T20210021613,01,2
T20210021613,A,0
T20220016753,A,0
T20230015764,B,0
T20210021616,B,0
T20210021616,01,0
T20210021616,02,0
T20230011224,B,0
T20200007772,A,0
T20210025260,01,0
T20200020327,A,1
T20220019233,A,2
T20180011018,A,2
T20180011018,B,0
T20210020899,B,1
T20210018834,B,1
T20220011892,B,2
T20230000723,B,3
T20190006802,A,2
T20230019777,A,2
T20220018148,A,0
T20210018166,02,2
T20230006735,02,1
T20210025788,B,2
T20220018737,B,2
T20220018737,A,0
T20210002401,B,2
T20210014894,B,0
T20230006956,01,1
T20240001431,02,3
T20240006920,B,2
T20240009335,A,1
T20240002111,B,2
T20240002111,A,0
T20240000919,02,3
T20240000919,B,6
T20240010217,B,2
T20240000099,01,0
T20240000099,A,0
T20240000099,02,0
T20240000099,B,0
T20240010217,A,0
T20230019782,B,4
T20230024895,B,0
T20230025709,02,2
T20230025709,B,0
T20230013199,A,2
T20220019420,01,0
T20220019420,A,2
T20240010708,01,2
T20240010708,B,0
T20240010708,A,0
T20230026308,01,0
T20240004783,B,0
T20210023601,A,2
T20210023601,01,2
T20230028686,A,2
T20230028686,B,0
T20230012922,A,1
T20240010165,A,0
T20240010165,B,0
T20240007659,A,0
T20240007659,B,2
T20220010184,A,0
T20230002774,B,2
T20230024827,A,4
T20220009941,A,0
T20220009106,A,2
T20230022467,A,0
T20230019503,01,1
T20230019503,02,4
T20220009941,B,2
T20200014931,B,2
T20200002293,01,2
T20180007085,B,1
T20220010015,A,0
T20220010015,B,2
T20220014080,B,4
T20200004908,B,2
T20200020193,A,1
T20200003944,A,2
T20220011809,B,1
T20220010396,B,0
T20220009675,A,0
T20210021071,01,3
T20170019943,05,6
T20220012608,B,1
T20220004253,B,3
T20220004253,A,3
T20220015827,B,0
T20220018148,B,0
T20220025707,B,4
T20220025707,A,1
T20170003905,01,3
T20220003386,B,3
T20200020250,A,4
T20230022676,A,0
T20210020479,A,0
T20210004510,A,0
T20240006319,A,0
T20220003209,B,0
T20190000587,B,1
T20210020353,A,1
T20210020353,B,4
T20210020431,A,1
T20210020431,B,4
T20200022932,02,6
T20210004744,B,0
T20190002574,01,4
T20210000342,01,2
T20190000587,01,1
T20200003532,A,1
T20230010486,01,1
T20180014540,A,1
T20240002893,A,2
T20210022364,A,0
T20210022881,A,4
T20210022881,B,1
T20190004137,A,4
T20190004137,B,6
T20220022849,A,2
T20150013960,A,1
T20150013960,01,6
T20220010187,A,0
T20210012764,B,0
T20210023809,A,0
T20220002798,B,2
T20210008688,B,1
T20210023285,B,4
T20220002798,A,0
T20230027184,B,4
T20220003693,B,0
T20220003693,01,2
T20230011390,B,1
T20170014121,A,1
T20210020256,A,0
T20210020256,B,2
T20210010319,A,6
T20210010319,01,1
T20220012192,A,2
T20200018413,01,2
T20220027391,A,2
T20220004939,01,2
T20210004019,B,4
T20210010368,B,4
T20210017990,B,0
T20210017990,B,0
T20160001510,A,0
T20160001510,B,2
T20210023593,A,0
T20200018326,01,2
T20210010319,B,4
T20120023997,A,4
T20210024435,01,2
T20210003809,01,1
T20240013977,B,0
T20240005664,A,2
T20230028842,02,0
T20230028842,B,2
T20230028842,A,2
T20230028842,01,0
T20240002569,B,0
T20220012386,A,0
T20220012386,B,2
T20240002118,03,4
T20240002118,04,6
T20240010109,A,2
T20240013570,A,2
T20240013570,B,0
T20220028052,A,0
T20240006456,B,2
T20240006456,01,0
T20240006456,A,0
T20170016163,A,0
T20220013984,B,3
T20220013984,02,3
T20230020415,B,0
T20240010803,B,2
T20240007034,A,0
T20160010043,B,4
T20240004564,01,1
T20240002943,B,2
T20230002331,A,0
T20240011064,A,2
T20240011044,A,0
T20190017040,A,2
T20230002331,01,2
T20220024823,01,2
T20240006161,A,0
T20240010635,B,2
T20240010635,A,0
T20220022910,A,2
T20230029471,A,2
T20230029471,B,0
T20220022420,B,2
T20150018865,01,0
T20220000276,A,1
T20210000598,A,4
T20210020322,A,0
T20210020322,B,2
T20230004708,A,1
T20210023853,B,0
T20240006778,A,0
T20240001231,02,0
T20230016215,B,2
T20190016602,B,0
T20210020479,02,2
T20210010080,A,0
T20210000731,A,4
T20210000731,B,1
T20210004319,B,0
T20130026580,B,3
T20160013280,A,0
T20210024327,A,0
T20230022693,01,0
T20180015979,A,4
T20180015979,B,1
T20210013753,A,0
T20240005225,B,4
T20210020135,A,0
T20200003113,B,2
T20210013619,A,1
T20180006274,01,2
T20230023984,A,2
T20180000596,01,2
T20210022376,B,2
T20190020504,A,0
T20210012259,A,0
T20210012259,B,2
T20200013728,A,2
T20120005275,B,0
T20120005275,B,0
T20120005275,A,2
T20120005275,A,2
T20220012017,B,2
T20150027016,A,5
T20220015638,A,2
T20240010814,01,0
T20220005473,A,4
T20220005473,B,1
T20150027016,01,5
T20150027016,03,5
T20150027016,05,5
T20150027016,06,5
T20150027016,04,5
T20150027016,02,5
T20150027016,B,5
T20220017248,A,0
T20210014041,A,0
T20220010196,A,0
T20220012183,A,1
T20220015385,03,1
T20220015385,A,6
T20230011961,A,3
T20210013356,A,2
T20220007243,B,4
T20210004411,B,2
T20220015654,A,0
T20220015654,B,0
T20220015379,A,2
T20220016019,A,2
T20220027013,A,0
T20230005230,B,0
T20190014014,01,3
T20220011251,A,2
T20220028730,B,2
T20210016750,A,0
T20190017635,A,0
T20210012080,B,0
T20190003345,A,0
T20230021046,01,0
T20160011104,B,3
T20200000551,B,2
T20190013984,B,0
T20190013984,A,2
T20120026867,B,0
T20180013309,A,0
T20230005155,A,4
T20140018282,B,0
T20200000551,01,0
T20210007768,B,2
T20190014343,A,0
T20150024157,01,2
T20180022297,B,2
T20200018131,A,1
T20200000607,B,2
T20190018192,B,0
T20240010814,B,2
T20190023909,B,4
T20180005970,03,6
T20190023486,01,0
T20190024886,B,2
T20190024886,01,2
T20190024886,A,0
T20170019892,A,1
T20240010814,A,0
T20190017150,A,0
T20190021291,A,0
T20200018131,B,4
T20190015403,A,2
T20190015403,B,0
T20200003464,01,0
T20230004104,B,0
T20170018961,B,2
T20180004777,A,1
T20240009470,B,2
T20230010878,B,2
T20210020237,B,0
T20210020237,A,2
T20230015334,B,1
T20230009447,01,0
T20210007839,A,0
T20210007839,B,2
T20230023383,B,2
T20230006759,01,2
T20220000043,A,2
T20220000043,B,0
T20150018002,B,2
T20220006507,B,2
T20220006507,A,0
T20120012122,B,2
T20130017708,B,1
T20190005645,A,2
T20190005645,B,0
T20210023418,B,0
T20210023418,A,2
T20240005551,A,4
T20200002071,A,2
T20210023313,B,2
T20240007913,A,2
T20220018145,B,1
T20140006640,01,2
T20140006640,A,2
T20140007213,A,0
T20140007213,B,2
T20140007213,01,2
T20140007213,02,2
T20230029471,01,2
T20240008764,B,2
T20240008764,A,0
T20240008715,B,2
T20230010316,A,0
T20230006046,A,1
T20240001142,02,0
T20240001142,A,0
T20190017040,B,0
T20240002348,B,2
T20230007656,A,6
T20240005584,B,2
T20220024616,01,2
T20230007656,B,3
T20240014483,A,2
T20240008113,A,1
T20240008113,01,1
T20220027652,01,0
T20240015232,01,0
T20240008715,A,0
T20230023614,01,1
T20230023614,A,4
T20230023936,A,2
T20220012386,01,0
T20240003282,01,0
T20240008339,A,2
T20240006602,B,1
T20230021389,01,0
T20240002370,B,0
T20230024618,A,2
T20190025229,03,2
T20190025229,B,0
T20190025229,01,2
T20190025229,A,0
T20230009695,01,0
T20220015385,B,1
T20190023845,B,4
T20220018125,A,0
T20220018125,B,0
T20170019079,B,0
T20230005547,A,0
T20210021697,B,2
T20220011992,B,0
T20210013356,B,0
T20220002470,B,1
T20200008072,B,1
T20210025196,01,0
T20210025196,A,2
T20210025196,B,2
T20220025804,B,2
T20220025804,A,0
T20210024664,01,0
T20240002486,B,2
T20220011671,A,4
T20220013944,A,2
T20180021190,B,4
T20220012841,A,0
T20220005983,A,0
T20230011674,B,2
T20210020133,B,0
T20210020133,A,0
T20200016310,B,4
T20200000523,B,0
T20230016805,A,1
T20220017637,A,4
T20220017637,B,1
T20140010650,A,0
T20140010650,B,2
T20140009989,B,4
T20140009989,01,1
T20140009989,A,1
T20140012497,B,1
T20200002048,A,0
T20200002048,B,0
T20210004070,B,2
T20210005205,B,2
T20210005205,A,0
T20180008561,B,2
T20180008561,A,0
T20210002956,B,4
T20210003209,01,2
T20210003209,02,0
T20200017327,A,2
T20210004074,A,2
T20210003254,B,0
T20200022241,01,0
T20190000582,B,1
T20200021161,B,0
T20120004661,02,1
T20200021161,A,0
T20200021318,B,2
T20200022786,B,4
T20200022786,A,1
T20200003231,A,2
T20230025171,B,0
T20230017122,01,2
T20220026084,B,3
T20220026084,02,3
T20220026084,A,3
T20220026084,01,3
T20190003074,01,3
T20160003803,01,2
T20240007955,01,0
T20190012874,40,5
T20240001550,A,0
T20230030915,A,0
T20240005084,A,0
T20220012924,01,0
T20120023322,A,2
T20220022420,A,0
T20130009482,A,1
T20220006166,B,2
T20230018056,B,2
T20210015887,01,3
T20120014468,01,0
T20220009077,01,0
T20130009482,B,4
T20230015421,A,2
T20220004398,A,0
T20220003285,B,0
T20210025808,B,6
T20220005757,A,0
T20140014267,A,4
T20140014267,B,1
T20140009873,B,1
T20140015593,B,2
T20210019149,B,2
T20210019149,A,0
T20240005833,A,1
T20230022955,B,2
T20210018969,B,1
T20210018969,A,4
T20220020874,01,0
T20220020874,A,2
T20220020874,B,2
T20210019195,A,1
T20210019272,B,1
T20210019272,02,1
T20210019272,03,1
T20210019272,A,4
T20210019272,01,6
T20210019673,B,2
T20210019673,A,0
T20210019710,B,2
T20210019710,01,2
T20210019710,A,0
T20210019629,B,2
T20210019629,A,0
T20210020664,A,4
T20210020835,01,2
T20200018856,B,2
T20200018856,A,0
T20200021218,B,4
T20230028823,B,0
T20230028823,A,2
T20200016489,A,0
T20200016489,B,2
T20200015287,A,0
T20200014599,A,2
T20200014599,B,0
T20200017184,B,3
T20200021479,A,2
T20200014985,A,2
T20220005583,B,2
T20210001971,A,2
T20200015933,01,0
T20200015933,B,2
T20200015120,B,6
T20220005583,A,0
T20200021392,A,1
T20200015120,A,4
T20200015766,A,2
T20200015766,B,0
T20200015821,A,0
T20200015821,B,2
T20200015379,01,0
T20210001665,B,2
T20210001665,A,0
T20190006109,A,0
T20190006109,01,0
T20190006109,B,2
T20230006418,A,0
T20230002331,B,2
T20220005299,01,2
T20220005299,02,2
T20220005299,A,0
T20220019020,A,1
T20200006014,B,0
T20200006410,B,1
T20230011098,A,0
T20230023535,B,0
T20220024377,A,0
T20230003169,B,0
T20220008738,A,0
T20230022184,B,4
T20230022184,A,1
T20140008117,A,0
T20230003169,A,2
T20180002659,B,2
T20180002659,A,0
T20220013006,01,1
T20220003570,B,2
T20220003570,01,0
T20220003570,A,0
T20220003570,02,2
T20200006410,A,4
T20220007297,A,4
T20220005427,B,2
T20220005427,01,0
T20220004939,02,0
T20220006621,B,1
T20220017297,B,0
T20210014040,A,1
T20210014040,B,4
T20210014161,A,0
T20210020050,A,1
T20210012116,B,4
T20150018002,01,2
T20220018585,A,6
T20220003285,A,0
T20190008203,A,4
T20210020699,A,1
T20210020332,B,2
T20210020332,A,0
T20210021726,A,0
T20210021123,B,2
T20210021123,A,0
T20210021123,01,2
T20210021640,A,4
T20210021640,B,1
T20210021260,A,0
T20210021260,B,0
T20210021942,A,4
T20210021942,B,6
T20210022802,A,1
T20240012856,B,2
T20240012856,A,0
T20240012856,01,0
T20210022969,01,3
T20210022969,A,3
T20220007606,01,1
T20240013894,02,2
T20210023153,A,4
T20210023153,B,6
T20230006418,B,2
T20200017810,A,0
T20200020288,B,2
T20200020288,A,0
T20230020127,A,6
T20200013662,01,0
T20200013662,B,0
T20200013662,A,2
T20150021914,A,0
T20200018115,A,0
T20190009904,A,6
T20190009904,01,6
T20190009904,B,4
T20180011928,A,2
T20180011928,B,0
T20190010274,B,4
T20190010274,A,1
T20190010250,02,2
T20200014481,01,0
T20180022039,01,2
T20180022039,B,2
T20200016570,A,2
T20200006521,B,2
T20200006521,A,0
T20200016063,A,2
T20200016572,A,0
T20200016572,B,2
T20200020964,B,2
T20200020964,A,2
T20200020964,01,0
T20190009758,B,0
T20190009758,B,0
T20190009758,B,0
T20190009758,01,2
T20190009758,01,2
T20190009758,01,2
T20190010250,A,2
T20180023802,B,6
T20180023802,01,3
T20210014198,A,2
T20210014198,B,0
T20220008415,B,0
T20210012182,A,4
T20210012182,B,1
T20210011815,A,3
T20210011815,B,3
T20190004120,01,0
T20190004120,02,0
T20220004398,B,2
T20210021965,A,4
T20220019772,A,0
T20220001614,A,0
T20230021611,A,0
T20220004483,A,1
T20220010608,A,0
T20150011463,B,1
T20120023997,B,1
T20220003985,A,0
T20220003209,A,0
T20220025012,A,6
T20220025012,02,1
T20220005177,B,2
T20170022106,B,2
T20220005911,A,0
T20220005911,B,2
T20220002203,B,0
T20220005427,A,0
T20220008079,02,0
T20210014769,B,2
T20220004214,A,2
T20220004214,A,2
T20230024798,A,0
T20200011814,A,0
T20220020610,A,4
T20220000839,B,4
T20240013894,A,0
T20240013894,01,0
T20210022538,B,1
T20210022507,A,0
T20220008875,A,2
T20210023133,A,1
T20210022916,B,1
T20210022916,A,4
T20220008875,B,0
T20230008084,A,0
T20230022093,B,2
T20230022093,A,0
T20220024062,B,4
T20230020054,A,0
T20180012327,A,1
T20190015833,A,3
T20190015833,B,3
T20210024255,A,4
T20210024255,B,6
T20210024096,01,4
T20210024096,A,6
T20210024051,B,4
T20210024051,A,1
T20210013832,A,6
T20210013832,B,4
T20220003180,A,2
T20200016737,A,2
T20200020094,A,0
T20220003180,01,0
T20200006486,A,1
T20170006346,B,3
T20200017548,B,2
T20190019579,B,0
T20200006486,B,4
T20200012269,A,0
T20190013853,A,2
T20200022716,B,2
T20200018733,A,1
T20210003475,A,4
T20210003475,B,1
T20210003475,01,6
T20220006121,B,1
T20210009492,B,2
T20200020730,A,0
T20200020730,01,0
T20200020730,B,2
T20200020730,02,2
T20210005167,A,4
T20210005003,A,1
T20230019756,B,0
T20210006261,01,4
T20210006261,02,6
T20210006261,03,6
T20210006261,A,6
T20220006678,A,0
T20210026904,A,2
T20210026904,B,0
T20210024314,01,1
T20150018002,A,0
T20210000948,A,2
T20210000948,B,2
T20230016215,A,0
T20220006389,B,2
T20220006389,A,0
T20210021766,01,2
T20210021766,01,2
T20230010316,B,2
T20220002100,B,2
T20210003367,B,2
T20220006678,B,2
T20220008079,01,0
T20220006015,A,2
T20220000150,A,4
T20220000188,A,0
T20220023077,01,2
T20220023077,A,0
T20160027480,01,4
T20160027480,A,1
T20230009626,02,0
T20220004857,B,2
T20200023898,01,4
T20230009626,01,0
T20220001280,B,0
T20220004857,A,0
T20210021065,01,1
T20240003445,A,4
T20230001328,A,0
T20220017178,A,1
T20240004427,01,2
T20190008729,B,3
T20190008729,A,3
T20190008729,01,3
T20210020605,A,0
T20210020605,B,2
T20220001193,A,0
T20210023997,B,2
T20210023997,A,0
T20220022585,B,1
T20220022585,A,4
T20220022585,01,6
T20150011861,B,2
T20150011861,A,0
T20210023926,B,6
T20210023926,01,1
T20210023926,A,4
T20210023926,03,6
T20210023926,02,6
T20120019589,02,4
T20120019589,A,6
T20120019589,01,6
T20120019589,B,6
T20220010737,B,0
T20210013909,A,1
T20210014090,A,1
T20210014210,A,6
T20210014013,B,4
T20210014013,A,1
T20210014013,01,6
T20210014325,B,0
T20210014325,A,0
T20210014326,01,3
T20210014326,02,3
T20210014326,A,3
T20210014326,B,3
T20230014154,01,0
T20210014100,01,1
T20210014100,B,1
T20210014221,A,1
T20210014342,A,0
T20220001193,B,2
T20220005820,B,4
T20240018668,B,2
T20220002692,A,2
T20230008477,B,2
T20240008525,B,0
T20160001494,01,3
T20210013793,B,1
T20210013793,A,6
T20220002022,B,0
T20220007018,01,6
T20200000713,02,4
T20210016760,04,3
T20180024181,A,2
T20220010196,B,2
T20180005643,B,4
T20180005643,A,1
T20230019223,A,0
T20230019223,02,0
T20210025615,A,0
T20220004316,B,6
T20210005780,B,2
T20210015150,B,0
T20190014535,A,6
T20220005820,A,6
T20210010787,B,6
T20220013015,B,0
T20220001379,A,1
T20220001379,01,6
T20220001379,B,4
T20180024415,A,1
T20180004047,03,5
T20220001206,A,0
T20230011220,A,2
T20170012564,A,1
T20210014334,B,6
T20210014334,A,4
T20210014017,A,2
T20210014017,01,2
T20210014017,B,0
T20210014018,01,3
T20210014018,B,3
T20210014018,A,3
T20210014544,A,1
T20210014544,B,6
T20210014544,01,4
T20210014544,02,1
T20210014743,01,0
T20210014743,A,2
T20210014743,B,2
T20210014864,A,1
T20210014547,A,1
T20210014547,B,4
T20210014625,01,3
T20210014625,A,3
T20210019235,A,0
T20210022166,A,2
T20210017028,A,0
T20210008727,B,4
