ACCIDENT_NO,PERSON_ID,cluster
T20130022471,B,0
T20210026480,01,0
T20180019392,B,4
T20240007693,A,2
T20220022678,01,6
T20210026480,A,2
T20180019392,A,1
T20180019392,01,1
T20240004330,B,4
T20230009403,B,0
T20230017991,B,0
T20230016745,B,3
T20230016718,01,1
T20240002668,A,2
T20230016718,02,1
T20190019861,A,2
T20240003584,B,0
T20240003138,A,2
T20240007817,B,2
T20240007817,A,2
T20230017189,A,0
T20230018495,02,6
T20190000913,B,2
T20190000913,01,0
T20150003211,02,0
T20150003211,A,0
T20150003211,B,0
T20150003211,01,0
T20190008362,01,2
T20190008362,A,0
T20180007496,A,4
T20190017479,B,2
T20190017479,A,0
T20180007273,01,3
T20160012125,01,4
T20190015002,A,3
T20190020539,B,2
T20190020495,A,2
T20190014512,A,2
T20190014512,01,2
T20230010586,B,4
T20130004524,01,0
T20190018400,02,2
T20190025132,A,0
T20190011395,B,2
T20190011395,01,2
T20190025132,01,0
T20220021709,B,0
T20220021709,A,2
T20190019434,B,0
T20220007617,A,0
T20190022541,A,4
T20190024528,A,2
T20190021371,B,2
T20190021371,A,0
T20190023134,A,6
T20220000143,B,2
T20190022820,A,1
T20200017748,A,0
T20190019556,B,4
T20190019556,A,1
T20190016529,01,2
T20200005721,01,3
T20190020124,B,2
T20190019601,A,0
T20190020762,A,2
T20160009052,A,1
T20160009052,B,4
T20200000969,B,4
T20190024570,A,4
T20170015551,A,2
T20190024014,B,1
T20160025043,A,4
T20190020024,B,2
T20160021865,B,5
T20200023474,01,0
T20200008948,01,0
T20180004183,B,1
T20210003292,B,4
T20200013558,B,2
T20220008282,A,4
T20190014973,A,4
T20210026065,A,3
T20230021394,B,0
T20230027363,B,0
T20230027363,A,0
T20180006196,A,0
T20230014841,A,0
T20210014850,B,6
T20230017845,B,2
T20220026175,B,0
T20220020133,01,2
T20230030328,A,2
T20240003584,A,2
T20220007947,B,6
T20220007947,A,4
T20220006540,A,1
T20230014191,B,0
T20230028012,A,0
T20230005195,A,0
T20230003871,A,0
T20230003871,B,2
T20240012066,B,2
T20230011973,A,2
T20230017879,A,2
T20230024796,A,1
T20230030366,A,2
T20230027644,A,0
T20240002730,A,0
T20230019373,B,2
T20230020721,A,0
T20240005720,B,2
T20240002983,A,0
T20240002983,B,2
T20200003729,A,0
T20200010731,A,2
T20200014135,01,2
T20200014135,A,0
T20200014135,B,2
T20190007779,01,2
T20190007779,A,2
T20210009206,A,4
T20120020922,B,2
T20200022209,A,0
T20200022209,B,2
T20230020766,B,2
T20230005400,A,0
T20230005400,B,2
T20120022107,A,6
T20200021610,A,0
T20200021610,B,2
T20120022107,B,4
T20240016417,B,1
T20200006028,A,0
T20210021906,A,0
T20240008494,A,2
T20230008288,A,0
T20230008288,B,2
T20210022382,B,0
T20230015418,B,3
T20200013074,01,3
T20190021927,B,2
T20190018861,B,2
T20190018861,A,0
T20170024242,A,3
T20170024242,01,3
T20170024242,B,1
T20220010989,02,0
T20190011990,B,2
T20190011990,A,0
T20170014640,A,1
T20170014640,B,4
T20170022385,B,1
T20230017592,B,2
T20160010834,B,4
T20160010834,A,1
T20170015343,A,1
T20200005535,A,2
T20200003919,01,0
T20190021215,A,2
T20190021215,B,0
T20150015612,A,4
T20200020757,A,1
T20190024425,A,2
T20190014518,B,2
T20200020757,B,4
T20210016613,A,6
T20210020939,A,4
T20190016214,B,2
T20190016214,A,0
T20190016214,01,2
T20230012450,B,0
T20190018243,A,4
T20190023247,A,2
T20190009356,A,1
T20170008102,B,2
T20190015839,01,2
T20190015839,01,2
T20210019634,A,0
T20190019207,A,0
T20160003625,B,2
T20190014208,B,2
T20230014993,B,4
T20230014993,02,1
T20230024796,B,4
T20230030351,A,4
T20230007243,B,4
T20230011049,A,3
T20230020570,01,1
T20230030351,B,1
T20230030351,01,1
T20240015697,A,2
T20240004116,A,2
T20230023549,A,4
T20230023549,B,1
T20220008073,A,4
T20220008073,B,1
T20230029895,A,0
T20230029895,B,0
T20190021225,01,1
T20190021225,02,1
T20190021225,A,1
T20190021225,B,4
T20210022183,A,2
T20220023428,01,6
T20220023428,B,3
T20220023428,A,3
T20210012312,A,2
T20230001205,A,0
T20220027835,A,4
T20220027835,B,1
T20220019078,A,1
T20220019078,B,4
T20220018523,A,2
T20220018523,B,0
T20240004347,01,3
T20240004347,A,3
T20240004347,B,1
